id,track,type,start,end,confidence,evidence_level,creator,value,topicId,topicTerms,topicWeight
urn:palimpsest:pride-and-prejudice-ch1:topics:43507fe6,topics,TopicAnnotation,0,116,0.8999945032578667,E4,sklearn-lda/10topics,,7,"['man', 'want', 'truth', 'wife', 'good']",0.9
urn:palimpsest:pride-and-prejudice-ch1:topics:4c22de29,topics,TopicAnnotation,118,378,0.8499911294905726,E4,sklearn-lda/10topics,,7,"['man', 'want', 'truth', 'wife', 'good']",0.85
urn:palimpsest:pride-and-prejudice-ch1:topics:b3fc45aa,topics,TopicAnnotation,380,486,0.8499924270612502,E4,sklearn-lda/10topics,,8,"['bennet', 'dear', 'heard', 'design', 'lady']",0.85
urn:palimpsest:pride-and-prejudice-ch1:topics:74e92b94,topics,TopicAnnotation,488,523,0.3666659053324549,E4,sklearn-lda/10topics,,8,"['bennet', 'dear', 'heard', 'design', 'lady']",0.3667
urn:palimpsest:pride-and-prejudice-ch1:topics:42506dff,topics,TopicAnnotation,525,617,0.6999954071210653,E4,sklearn-lda/10topics,,3,"['bennet', 'daughters', 'wife', 'years', 'woman']",0.7
urn:palimpsest:pride-and-prejudice-ch1:topics:c4290262,topics,TopicAnnotation,619,645,0.549988140027552,E4,sklearn-lda/10topics,,8,"['bennet', 'dear', 'heard', 'design', 'lady']",0.55
urn:palimpsest:pride-and-prejudice-ch1:topics:50923c38,topics,TopicAnnotation,647,719,0.8199813083692254,E4,sklearn-lda/10topics,,0,"['girls', 'lizzy', 'assure', 'replied', 'marrying']",0.82
urn:palimpsest:pride-and-prejudice-ch1:topics:992ad75a,topics,TopicAnnotation,721,784,0.549992297372326,E4,sklearn-lda/10topics,,7,"['man', 'want', 'truth', 'wife', 'good']",0.55
urn:palimpsest:pride-and-prejudice-ch1:topics:ef6b18a1,topics,TopicAnnotation,786,813,0.1,E4,sklearn-lda/10topics,,0,"['girls', 'lizzy', 'assure', 'replied', 'marrying']",0.1
urn:palimpsest:pride-and-prejudice-ch1:topics:5fd71b1c,topics,TopicAnnotation,815,1212,0.9249935663985066,E4,sklearn-lda/10topics,,1,"['dear', 'know', 'thinking', 'nerves', 'beauty']",0.925
urn:palimpsest:pride-and-prejudice-ch1:topics:b1412d96,topics,TopicAnnotation,1214,1233,0.1,E4,sklearn-lda/10topics,,0,"['girls', 'lizzy', 'assure', 'replied', 'marrying']",0.1
urn:palimpsest:pride-and-prejudice-ch1:topics:dd7b842e,topics,TopicAnnotation,1235,1245,0.5499929868274345,E4,sklearn-lda/10topics,,6,"['bingley', 'dear', 'neighbourhood', 'comes', 'know']",0.55
urn:palimpsest:pride-and-prejudice-ch1:topics:9d28c643,topics,TopicAnnotation,1247,1273,0.6999890099110588,E4,sklearn-lda/10topics,,4,"['married', 'single', 'dear', 'know', 'bennet']",0.7
urn:palimpsest:pride-and-prejudice-ch1:topics:74262ccc,topics,TopicAnnotation,1275,1403,0.9249950333549987,E4,sklearn-lda/10topics,,5,"['single', 'year', 'thousand', 'come', 'dear']",0.925
urn:palimpsest:pride-and-prejudice-ch1:topics:86d00446,topics,TopicAnnotation,1405,1438,0.1,E4,sklearn-lda/10topics,,0,"['girls', 'lizzy', 'assure', 'replied', 'marrying']",0.1
urn:palimpsest:pride-and-prejudice-ch1:topics:9c5730f9,topics,TopicAnnotation,1440,1571,0.8874890861218525,E4,sklearn-lda/10topics,,1,"['dear', 'know', 'thinking', 'nerves', 'beauty']",0.8875
urn:palimpsest:pride-and-prejudice-ch1:topics:a63c5cec,topics,TopicAnnotation,1573,1611,0.5499866152230869,E4,sklearn-lda/10topics,,9,"['woman', 'think', 'beauty', 'design', 'dear']",0.55
urn:palimpsest:pride-and-prejudice-ch1:topics:b8de328b,topics,TopicAnnotation,1613,1774,0.7749803802291824,E4,sklearn-lda/10topics,,8,"['bennet', 'dear', 'heard', 'design', 'lady']",0.775
urn:palimpsest:pride-and-prejudice-ch1:topics:11baf2b6,topics,TopicAnnotation,1776,1996,0.8714169559191517,E4,sklearn-lda/10topics,,2,"['visit', 'better', 'handsome', 'know', 'like']",0.8714
urn:palimpsest:pride-and-prejudice-ch1:topics:1f65f4dc,topics,TopicAnnotation,1998,2215,0.8714148329001513,E4,sklearn-lda/10topics,,1,"['dear', 'know', 'thinking', 'nerves', 'beauty']",0.8714
urn:palimpsest:pride-and-prejudice-ch1:topics:0113c07f,topics,TopicAnnotation,2217,2280,0.7749945903536686,E4,sklearn-lda/10topics,,9,"['woman', 'think', 'beauty', 'design', 'dear']",0.775
urn:palimpsest:pride-and-prejudice-ch1:topics:aa41c149,topics,TopicAnnotation,2282,2374,0.8199920640742591,E4,sklearn-lda/10topics,,6,"['bingley', 'dear', 'neighbourhood', 'comes', 'know']",0.82
urn:palimpsest:pride-and-prejudice-ch1:topics:a5265c7a,topics,TopicAnnotation,2376,2421,0.5499999934363401,E4,sklearn-lda/10topics,,0,"['girls', 'lizzy', 'assure', 'replied', 'marrying']",0.55
urn:palimpsest:pride-and-prejudice-ch1:topics:c176f3c7,topics,TopicAnnotation,2423,2724,0.8714179138642721,E4,sklearn-lda/10topics,,2,"['visit', 'better', 'handsome', 'know', 'like']",0.8714
urn:palimpsest:pride-and-prejudice-ch1:topics:de8296c0,topics,TopicAnnotation,2726,2990,0.899993730240911,E4,sklearn-lda/10topics,,0,"['girls', 'lizzy', 'assure', 'replied', 'marrying']",0.9
urn:palimpsest:pride-and-prejudice-ch1:topics:7708e213,topics,TopicAnnotation,2992,3207,0.8714222771679849,E4,sklearn-lda/10topics,,2,"['visit', 'better', 'handsome', 'know', 'like']",0.8714
urn:palimpsest:pride-and-prejudice-ch1:topics:4e61fffa,topics,TopicAnnotation,3209,3381,0.8199962576917526,E4,sklearn-lda/10topics,,0,"['girls', 'lizzy', 'assure', 'replied', 'marrying']",0.82
urn:palimpsest:pride-and-prejudice-ch1:topics:d454b3ba,topics,TopicAnnotation,3383,3520,0.699968404285317,E4,sklearn-lda/10topics,,1,"['dear', 'know', 'thinking', 'nerves', 'beauty']",0.7
urn:palimpsest:pride-and-prejudice-ch1:topics:0670d710,topics,TopicAnnotation,3522,3690,0.8199882965963463,E4,sklearn-lda/10topics,,1,"['dear', 'know', 'thinking', 'nerves', 'beauty']",0.82
urn:palimpsest:pride-and-prejudice-ch1:topics:3cabedf4,topics,TopicAnnotation,3692,3728,0.5499824616286373,E4,sklearn-lda/10topics,,1,"['dear', 'know', 'thinking', 'nerves', 'beauty']",0.55
urn:palimpsest:pride-and-prejudice-ch1:topics:031fc8f1,topics,TopicAnnotation,3730,3848,0.8499949935985724,E4,sklearn-lda/10topics,,5,"['single', 'year', 'thousand', 'come', 'dear']",0.85
urn:palimpsest:pride-and-prejudice-ch1:topics:34e7476e,topics,TopicAnnotation,3850,3935,0.6999887267640197,E4,sklearn-lda/10topics,,2,"['visit', 'better', 'handsome', 'know', 'like']",0.7
urn:palimpsest:pride-and-prejudice-ch1:topics:5f256c3a,topics,TopicAnnotation,3937,4014,0.6999203501181345,E4,sklearn-lda/10topics,,2,"['visit', 'better', 'handsome', 'know', 'like']",0.6999
urn:palimpsest:pride-and-prejudice-ch1:topics:03961054,topics,TopicAnnotation,4016,4487,0.8874919865991313,E4,sklearn-lda/10topics,,3,"['bennet', 'daughters', 'wife', 'years', 'woman']",0.8875
