series,number,prompt,blurb,archive_id
CYOA,1.0,You are the hero of your own adventure,"You are lost in a strange, dimly lit cave. Gradually you can make out two passageways. One curves downward to the right; the other leads upward to the left. It occurs to you that the one leading up may go to the <em>future</em>.",caveoftime00pack
CYOA,2.0,You are the hero of a fabulous deep sea adventure,"You are an underwater explorer. In the deepest ocean, you have accidentally been shut out of your special underwater vessel! Luckily you have friends above you in a boat. But can they save you in time? As they begin pulling you up, you get dizzy and your arms and legs start to feel weak … you are exhausted! Then you see a dolphin heading toward you. You know these marvelous mammals <em>sometimes</em> help people in trouble.",journeyundersea00mont
CYOA,3.0,What will happen on this exciting journey? <em>You</em> get to choose!,"You are floating high above the earth in a giant balloon. Below you is the Sahara Desert, with its endless, golden sands, hundreds of camels, and mud-walled villages. Suddenly you see a large silver dome twinkling in the distance. Should you land the balloon and see what it is? If it’s a flying saucer, it might be dangerous … should you play it safe and stay in the clouds?",byballoontosahar00term
CYOA,4.0,Get ready to hurtle through space – and beyond!,"You were born on a spaceship traveling between galaxies. An experienced intergalactic adventurer, you are now on a mission to a distant planet. Suddenly on your screen you see an alien spacecraft – like nothing you’ve ever seen before. Will the aliens be hostile or friendly? There isn’t much time. Should you fight and hope to drive them off, or just go quietly with them? Here they come!",spacebeyond00mont
CYOA,5.0,Will you unlock the mystery of Chimney Rock?,"On your vacation in Connecticut, you notice a huge, empty stone house at the top of a hill. Some of the windows are boarded up. Some are covered with vines. The old house, known as “Chimney Rock,” is so dark and gloomy that most people won’t go near it.

But you’re the curious type. Should you see for yourself what’s inside? Your cousin urges you to go ahead.",mysteryofchimney0000pack
CYOA,6.0,Will you succeed in this dangerous mission?,"You are a clever American spy. Your code name is Jonah. On a special mission to Deception Island off the coast of Greenland, you discover a secret of worldwide importance. <em>But</em> – for reasons you’ll understand when you read the story – it may be dangerous to reveal this secret to anyone!",yourcodenameisjo00pack
CYOA,7.0,This daring space mission could be your finest—or it could be your last!,"You are flying through space – past Mars, Jupiter, and Saturn – toward the third planet from the star Altair. You descend to a strange world of deserted cities, glowing caves, and man-eating plants. You are here to find the source of the mysterious signals being transmitted to earth",thirdplanetfroma00pack
CYOA,8.0,Tangle with the meanest man in the west!,"You ride into Deadwood City and before you can say, “Git along little dogie,” Kurt Malloy and his gang of desperados are hot on your trail! Whatever you decide, it better be fast! Or else you might end up looking down the barrel of Malloy’s gun!",deadwoodcity0000pack
CYOA,9.0,Someone murdered Harlowe Thrombey. Only you can find out who did it.,"Millionaire Harlowe Thrombey hired you to find out who was out to get him. But before you even got started, someone laced his bedtime brandy with arsenic. Now you have a murder case on your hands! The suspects include his wife Jane, his nephew Chartwell, and his niece Angela – all heirs to his enormous fortune.",whokilledharlowe0000pack
CYOA,10.0,The Jewels of Nabooti are missing and it’s up to <em>you</em> to find them.,"Two diamonds, two rubies. All powerful. They can bring good and they can bring evil to those who possess them. The Jewels of Nabooti, priceless treasures of an ancient African tribe, have disappeared. You have been chosen to find them, Where do you begin your search?",lostjewelsofnabo00mont
CYOA,11.0,Are you brave enough to take the magic potion and travel back in time?,"You are in Mexico. You’ve come to explore the ruins of the ancient and mysterious Mayan Indians, whose civilization disappeared 800 years ago. Many before you have tried to solve the mystery, but no one has succeeded. Now <em>you</em> have the chance to find out what really happened. Will you drink the magic time potion?",mysteryofmaya0000mont
CYOA,12.0,Captured by a UFO! Can you escape?,"You’re aboard a supersonic jet, high above the Atlantic. Suddenly a huge, gleaming white cylinder shoots out of the clouds. The next thing you know you are inside the galactic ship <em>Rakma</em> – captured by the all-powerful U-TY Masters!",insid544000pack
CYOA,13.0,Face-to-face with the Abominable Snowman!,"Is the Abominable Snowman real, or just a legend? You and your friend Carlos are ready to risk your lives to find out. You will climb the highest mountains to bring back the world’s first photographs of this hairy and mysterious beast.",abominablesnowma0001mont
CYOA,14.0,Can you solve the riddle of the Forbidden Castle?,"The Cave of Time whirls you back to medieval England. You must solve the riddle that leads to the Forbidden Castle, where riches await – and maybe a way home. But the king wants the fortune for himself, and his army is right behind you!",forbiddencastle0000pack
CYOA,15.0,Will the House of Danger be your biggest case ever? Or will it be your Last?,"You are an accomplished young detective with several tough cases under your belt. Then comes a case that is as difficult as it is frightening. An anonymous caller begs for help. But before you can find out more, the line goes dead…",houseofdanger00mont
CYOA,17.0,You must conquer the wild country to win the race forever!,"You are an experienced race car driver, competing in the First African Dual Road Race Rally. You choose your car, meet your navigator, and you’re off! You zoom along the wild and rocky road. Soon you come to a wide riverbed. Driving across won’t be easy. Suddenly thunder rumbles and raindrops spatter furiously on your car. You have been warned that heavy rain brings flash floods. Should you risk crossing now?",raceforever00mont
CYOA,18.0,Danger and adventure await you in the Underground Kingdom!,"You are exploring the Underground Kingdom, a fantastic and strange world in the center of the earth. As you stand inside the largest cavern you’ve ever seen, you are amazed at the dazzling sight before your eyes.",undergroundkingd00edwa
CYOA,20.0,The year is 2035. You are in enemy territory.,"The United States has been split into three hostile states: Dorado, Rebellium, and Turtalia. You are one of the leaders of the Turtalian spy mission. Your job is to fly the Doradan invasion plans to Turtalian headquarters. You have almost completed your mission when you come face-to-face with enemy patrol planes!",escapemont00mont
CYOA,21.0,You are about to discover what lies beyond the universe.,"Your new neighbor, Professor Zinka, is a brilliant scientist who is exploring the mysteries of Hyperspace. One day he invites you into his secret laboratory to show you his most daring invention – the hypolaser. Before you can stop him, he pulls a red lever – and vanishes into another dimension!",hyperspace00pack
CYOA,24.0,Explore the mysteries of the Amazon,"You have come to join a medical expedition in the Amazon jungle, but no one is there to greet you. Your colleagues have been lured into the jungle by the powerful spell of a mysterious flute. Now you are alone, with only the legendary Amazon women to help you. Suddenly the song of the flute calls you! Will it lead you to your friends?",lostonamazon00mont
CYOA,25.0,Can you save the universe?,"You are a genius. The Zondo Quest Group II, an interplanetary task force, is counting on your amazing talent with computers to help them combat the Evil Power Master. You’re at work in the research lab when one of your co-workers suddenly paralyzes you with a strange purple beam. He tells you he is the leader of a warrior ant species that wants to rule the universe!",prisonerofantpeo0000mont
CYOA,26.0,Tackle terror beneath the waves!,"Your amazing ESP abilities have put you at the controls of the <em>Manta</em>, a specially built government submarine. Your mission: to find out why ships have been disappearing all over the world – without a trace. One day, deep at sea, you are suddenly trapped by a brilliant beam of light from a vessel 100 times the size of the <em>Manta</em>!",phantomsubmarine0000brig
CYOA,27.0,What is the horrible secret of High Ridge?,"You and your friends are spending the summer in your great-uncle’s cabin in the mountain town of High Ridge. An old legend says that ghosts lurk everywhere and murder unsuspecting victims. You don’t believe it – until an arrow bursts through the window, whizzes past your head, thuds into the wall … then disappears!",horrorofhighridg00juli
CYOA,30.0,Can you escape the curse of Batterslea Hall?,"You’ve come to England to visit your cousin Amanda at Batterslea Hall. When you learn that the Hall is under the spell of an evil woman named Lady Darkness, you decide to help Amanda escape. You’re making your plans when you hear voices in the next room. You and Amanda are going to be captured and delivered to Lady Darkness that very night! What should you do?",curseofbattersle00brig
CYOA,31.0,You’re in the heart of vampire country … and there’s no turning back.,You’re on a vampire hunt in deepest Romania with your uncle Andrew and your friend Nina. You’re riding horseback toward an eerie castle when a thick fog rolls in. Suddenly you’re surrounded by wolves! Your uncle races ahead – but Nina is thrown off her horse and disappears into the fog. What should you do?,vampireexpress00kolt
CYOA,32.0,Search the ocean depths for treasure beyond your wildest dreams!,"You are a scuba diver exploring Gulf of Mexico in search of sunken treasure. You’re 120 feet underwater with your friend Kate when a deadly current suddenly pulls her deeper. You want to help – but Kate has completely disappeared! And if you dive too deep to look for her, you might get trapped yourself!",treasurediver0000good
CYOA,33.0,Treasure awaits you in the dragon’s den!,"You’re on the quest of a dragon’s fabulous treasure. With the help of the wizard Zarkon, you’ve reached the top of a tower near the dragons’ den. Suddenly you hear banging on the tower door. It’s Tarlane, the evil dungeon master! You must escape! Zarkon lifts his magic staff – and a flying dragon appears at the tower’s edge.",dragonsdenchoose00rich
CYOA,36.0,Will you uncover Tibet’s most dangerous secret?,"You’re a private investigator searching for the lost valley of Siling-La, where monks have learned the strange art of levitation. You get a tip that a man named von Kamp has valuable information for you, and you arrange a meeting with him. But just as he starts talking, a knife flies through the window – inches away from his head!",secrettreasureof00brig
CYOA,39.0,Life can get superdangerous with a supercomputer around!,You’ve won a computer programming contest. Now you’re the lucky new owner of a Genecomp AI 32 computer named Conrad. You read the operating instructions carefully and turn on the power. Suddenly Conrad begins to talk. He already knows everything about you! Your new supercomputer is a genius. You can do almost anything with him!,supercomputer0000pack
CYOA,40.0,Anything can happen in your search for the mighty Zeus!,"You’ve been magically transported back to ancient Greece by the goddess Athena. You task: find Zeus, king of Olympus. But Zeus could be anywhere. Where should you start?",throne-of-zeus-choose-your-own-adventure-40
CYOA,42.0,Can you solve the mystery of Echo Lodge before it’s too late?,"Strange things are happening at your aunt Sadie’s ski lodge. Either someone is trying to put your aunt out of business, or the ancient curse of the Faiute Indians is working its evil. It’s up to you to get to the bottom of things. But before you have a chance, two strange men with a gun at your back force you into a boat!",mysteryofecholod0000fole
CYOA,43.0,Can you conquer the grand canyon?,"You're a daring river runner who’s just been hired to raft down the Colorado River. Your mission: find the lost horses who went to the edge of the Grand Canyon – and then vanished. A few days into your trip, you get a terrifying message over the radio: huge flood waters are racing toward you!",grandcanyonodyss00leib
CYOA,44.0,Can you solve the mystery of Ura Senke?,"A priceless tea bowl has been stolen from Ura Senke, the well-known tea ceremony school in Japan. You volunteer to help your friends find it – but before you can start, you’re kidnapped by the Yakuza, a vicious Japanese gang. You’re thrown into a room with a gun-toting guard, and it looks as if there’s no escape. But the guard falls asleep!",mysteryofurasenk0000gill
CYOA,45.0,What animal will you become?,"You’re hiking in the remote mountains of Nepal when you discover an ancient temple. You go in to take a look around. Suddenly you feel the strength seeping out of your body. A mysterious monk appears before you. He tells you that you’ve invaded a forbidden temple. As punishment, you must leave your human life behind – and become an animal!",
CYOA,48.0,Can you get your message through enemy lines?,You are a spy for the Colonists in the Revolutionary War. You’ve been entrusted with a special task: obtain the British plans and bring them back to General George Washington! But enemy patrols are everywhere. How can you get back through the British lines without suspicion?,spyforgeorgewash0000leib
CYOA,50.0,Where will the Cave of Time take you?,At last you have decided to return to the Cave of Time you discovered long ago. You struggle through the tunnel entrance until you reach a dimly lit chamber filled with eerie voices. Inside is a ghostlike figure – the oracle of time. He offers you an amazing choice: to witness either the beginning or end of time!,returntocaveofti00pack
CYOA,51.0,You must seek the realm of the unicorn,Only a unicorn’s horn can purify the water in your medieval village – so you set off to find a unicorn. After a long search you meet a sorceress who promises to help you. She offers you a choice of two spells. One will give you the power to speak with animals. The other will weave you a golden net for catching magical beasts. Which spell should you choose?,magicofunicorn00good
CYOA,52.0,Can you find the ghost of Harlowe Thrombey?,"Since the day you solved the Harlowe Thrombey murder case, you’ve been a famous detective. But now you’ve decided to try a new career – ghost hunting. And you’re going to start with the ghost of Harlowe Thrombey himself! You’re in the dark, gloomy basement of the Thrombey mansion when a white glow suddenly appears at the top of the stairs. You hear eerie echoing peals of laughter. It’s Harlowe Thrombey’s ghost!",ghosthunter00pack
CYOA,53.0,Someone wanted Jim Thompson out of the way….,"One day an envelope is mailed to your detective agency. Inside are two one-thousand-dollar bills, a plane ticket to Thailand, and a newspaper article. The article is about the incredible disappearance of Jim Thompson, the “Thai Silk King.” It promises a huge reward to whoever finds him! Someone wants you to investigate – but who?",caseofsilkking0000gill
CYOA,54.0,Can you survive in the Forest of Fear?,"You’re spending the summer with your uncle in Maine. He’s writing a book about an old Indian legend – the story of a sacred pine tree whose branches were said to be inhabited by spirits. You decide to hunt for the Spirit Tree yourself – but when you find it you fall asleep under its branches. You wake up surrounded by six shadowy forms. They order you to make a terrifying choice: you must drink a deadly herb brew, or walk across burning coals. An Indian legend is coming true – and somehow you’ve been trapped in it!",
CYOA,56.0,You’ve discovered an enchanted realm!,"You’re visiting your aunt in England. One day you leave her cottage to go exploring and discover a mysterious cluster of hills. You decide to return that night to secretly investigate them. When you get there, you’re amazed to see a crowd of strange, beautiful people dancing in the moonlight. You’ve stumbled upon the court of the Fair Folk from Elfland.",enchantedkingdom00kush
CYOA,58.0,You are under the spell of the Statue of Liberty!,"Your class is visiting the Statue of Liberty, and your first stop is the museum in its pedestal. One picture there shows a boatful of immigrants in 1907 – and one of the kids in the photo looks exactly like you! Suddenly the floor lurches strangely and when you catch your breath you’re standing on the deck of a huge ship in the middle of the ocean. It’s 1907 and you’re a passenger on your way to the United States!",statueoflibertya0000kush
CYOA,59.0,Can you stop the Omicron Masters?,"You've been marooned on Bounty Island, home of the most sinister corporation on earth: Omicron. The Omicron Masters have discovered the secrets of mind control and genetic mutation – and they’re about to take over the world. It’s up to you to stop them – but how will you do it?",laisladelterror0000kolt
CYOA,60.0,Will you be lost forever in the Bermuda Triangle?,"Your friend, Jill, has vanished near the Bermuda Triangle! Following the path Jill took in her sailboat, you set out in a private plane to search for her. As you approach the area where she disappeared, you notice a strange yellow haze in the sky – and your plane’s instrument panel starts to go crazy! You’re being pulled into the haze, and there’s nothing you can do to stop it!",
CYOA,62.0,You're trapped in a deadly paradise!,"You’re on a ship headed for an expedition on the Galapagos Islands. Suddenly a tidal wave sweeps you off the deck and onto the beach of a strange tropical island. You’re searching for help when you fall into a deep animal pit. At last some islanders haul you out. “Is this friend?” asks one. “No,” the other one snarls. “This is enemy!”",sugarcaneisland00pack
CYOA,63.0,,"When your great-aunt Celia decides to take off on an expedition, she leaves you in charge of her strange, old house. It looks as though she won’t return by the end of the month, so you follow the instructions on her note. You open the door to a secret room where you find three boxes – and another note from your aunt. “Open one – but only one – of the boxes!” it says. Which box will you choose?",mysteryofsecretr00kush
CYOA,64.0,You must find the silver sword of Haleakala before it’s too late!,"You’re standing at the rim of the towering volcanic mountain called Haleakala in Maui, Hawaii. Somewhere in the huge crater lies an ancient silver sword with magical powers – and you are determined to find it. One legend says the sword is buried in the dangerous Bottomless Pit. Another claims it’s hidden inside the crater’s pitch-dark Lava Tube. Where should you search first?",
CYOA,72.0,"If you don’t find Dr. Wogan, the world could end tomorrow!","The brilliant scientist Dr. Wogan has disappeared without a trace – and the plans for his invention, a radiation neutralizer, have vanished with him. At last you’ve traced him to a remote island where you’re supposed to meet with one of his associates. You’re riding a ferry to the island when a woman beckons to you. You’re about to follow her when a man next to you whispers, “No!” One of these people is your contact – but which one?",brilliantdrwogan0017mont
CYOA,73.0,Will you survive your journey beyond the Great Wall?,"It’s the year 1901, and Baron von Frothingham, an eccentric collector of art, has contacted you for an important mission. He wants you to find his agent who disappeared near the Great Wall while searching for treasures. If you can find the agent, the baron will reward you handsomely. But eight other fortune hunters seek the same prize, so you must choose the quickest and <em>safest</em> route. What should you do?",beyondgreatwall0000leib
CYOA,75.0,Will you defeat the dragons before they defeat you?,"Your life pod has crashed on planet Tambor, which is a lot like Earth – except for one thing. Deadly space dragons have invaded, threatening Tambor’s very existence. Quickly you agree to join the battle against the dragons – but is there time to equip an expedition before they attack again?",planetofdragons00brig
CYOA,89.0,Can you save the Antarctic Expedition?,"You’re spending the summer aboard your uncle’s ocean research ship, the <em>Pole Star</em>. This year the United Nations has chartered the ship for an expedition to investigate a hole in the Earth’s ozone layer over Antarctica. When the <em>Pole Star</em> anchors in the icy waters of Danger Bay, you must make a choice: Will you keep watch aboard the ship and become second mate, or will you go ashore to set up an automatic ozone-monitoring station?",
CYOA,97.0,Enter a dimension that no human being has ever seen,"You have been chosen for a mission that has never been attempted before – a journey to the center of a black hole. Scientists can only guess what will happen. You’ve been warned that you may not return alive. The spaceship <em>Athena</em> will actually enter the hole; its sister ship, the <em>Nimrod</em>, will only go to the edge and observe. Which ship will you choose to pilot?",throughblackhole00pack
CYOA,103.0,Will you uncover the secret of the ancient burial grounds?,"You've always been fascinated by the Anasazi, a Native American tribe which mysteriously vanished hundreds of years ago. When you learn that thieves are stealing valuable artifacts and destroying their sacred ruins, you take the next plane to New Mexico. Your friend Edward, whose father is the chief of the Navaho tribal police, wants to help investigate before the vandals strike again. Will you wait for Edward’s father to wrap up another case and join you, or will you and Edward go off on your own?",
CYOA,107.0,You are about to witness apartheid!,"The year is 1976. Your winning essay on the educational system in South Africa has attracted so much attention that the South African government has invited you and your classmates to see the system firsthand. While on a guided tour through a village, you see a mysterious figure in a window across the way. You should stay with your group, but this might be an opportunity to see the <em>real</em> South Africa. What will you do?",fightforfreedom00leib
CYOA,116.0,Can you outwit the kidnappers and make your way to freedom?,"You have been invited to visit your friend Jason after school. When you arrive, you are surprised to find that he is extremely wealthy and that he lives in a mansion. While you are racing Jason down his driveway, a stranger suddenly approaches and gestures for you and Jason to get in his car. A security guard lies wounded on the ground, and you realize that you’re about to be kidnapped. What will you do?",
CYOA,127.0,Can you survive the deadly competition at the horse show?,"You are a top contender in the Sudbury Horse Classic, one of the year’s most important national horse shows. When you overhear a man plotting to kill a horse insured for half a million dollars, you realize there’s more at stake here than a blue ribbon. If you don’t act fast, this prized show jumper will lose its life. You could go to the authorities, but by the time they arrive it might be too late. What will you do?",
CYOA,132.0,"Will you luck out, or run out of luck?","You and your friends are at a traveling carnival, playing games of chance and skill. After winning a seemingly impossible game, you are offered a choice of two prizes by a mysterious attendant. You can choose either a blue-green crystal or a book entitled <em>How to Get Lucky</em>. Neither seems very exciting, but the attendant assures you that these prizes could change your life! Which will you choose?",
CYOSA,1.0,You’re on a super adventure in a terrifying new world!,"January 14, 3000. You’ve been hibernating in a space capsule for a thousand years. Now you’re awake and ready to return to the Earth of the future – but your computer has horrifying news to report. An evil tyrant named Styx Mori has proclaimed himself Supreme Emperor of Earth. He has agents everywhere – even on other planets. And no matter where you land, you face capture – and even death! What should you do?",
CYOAY,1.0,Choose your own adventure® at the circus.,"Hurray! The circus is in town. Your Aunt Alice is an acrobat and your Uncle Harry trains polar bears. They have invited you to visit and now you’ll get your chance to be in the show. There are lots of things you can do at the circus

What happens to you at the circus? How does your story end? It all depends on the choices <em>you</em> make. One thing is certain, you’re going to have fun under the Big Top!",circus00pack
CYOAY,2.0,Choose your own adventure® in the haunted house.,"You and your dog Homer are walking home from school one day. You throw a stick and Homer chases it right into an abandoned house. The house looks so creepy that you are scared to go in. But you’ve got to find Homer! He’s your best friend.

Everything that happens to you in the haunted house depends on the choices you make. Some of your adventures will be scary, some of them will be funny, but all of them will be fun!",hauntedhouse00mont
CYOAY,3.0,Go sailing for sunken treasure!,"The year is 1793. You live in Boston next door to Captain Frye, who owns a sailing ship called the <em>Eagle.</em> One day, up in your attic, you find an old treasure map.

Will you find the buried treasure? Will you escape from the pirates? It all depends on the choices <em>you</em> make. Some of your adventures will be exciting, some of them will be scary, but all of them will be fun!",sunkentreasurech00edw_vti
CYOAY,4.0,“Bloop-de-bleep! I’m your very own robot!”,"You’ve always dreamed of owning a robot that would flash red and blue lights, talk to you, and be your friend. Now you have one! You fix him up, give him a name, and you’re ready to see what he can do.

What happens to you and your robot all depends on the choices <em>you</em> make. Sometimes your robot won’t do what he’s supposed to and sometimes he will, but your adventures together will always be fun!",isbn_9780553152333
CYOAY,5.0,"Get ready – you are about to meet Gorga, the space monster.","You are strolling along the beach one summer day when you see something that looks like a purple igloo. Suddenly three green eyes pop up and a huge purple mouth roars, “G-O-R-G-A!” It’s a monster! Is he friendly or mean? You’d better decide fast because he’s coming right at you!

Gorga might take you to outer space, or try to eat your house. It all depends on the choices <em>you</em> make. Whatever happens, all your adventures with Gorga are going to be fun!",gorgaspacemonste0000pack
CYOAY,6.0,Glop! Blurp! Slurp! Can you stop the Green Slime?,"You left your little cousin Stevie alone with your new chemistry set for a few minutes. What a mistake! He has managed to mix up a batch of bubbling green gunk that fills your room and drips down the stairs in big, thick blobs. Now what are you going to do?

Will you get the green goop under control? Will you save Stevie – and yourself? It all depends on the choices <em>you</em> make. Whatever happens, all your adventures fighting the green slime will be fun!",greenslime0000saun
CYOAY,7.0,Help! You’re shrinking!,"You and your dog are hunting for turtles one day when you see a large bottle leaning against a log. You pick up the bottle, but it slips and a blue liquid splashes on your arm. Before you know it, you’re no taller than a blade of grass! Help! You’re shrinking! A hornet as big as a helicopter is coming at you from one side, and a giant muskrat from another. What should you do?

Will you be able to get back to the right size? It all depends on the choices <em>you</em> make. Whatever size you end up, all your adventures will be fun!",helpyoureshrinki00pack
CYOAY,8.0,Will you find the gods of rain and save your village?,"Your village is in trouble. If it doesn’t rain soon, the crops will die and there will be no food for your people. You and your friend Running Foot decide to find <em>kachinas</em>, spirits who will ask the gods to bring rain to your village. As you climb down a rocky canyon trail, you hear voices. Through a clearing you see a group of enemy Apaches. It looks like they are planning an attack!

Will you find the gods of rain? It all depends on the choices <em>you</em> make. Whatever happens all your adventures in <em>Indian Trail</em> are going to be exciting!",indiantrail0000mont
CYOAY,9.0,Where will your dream trips take you tonight?,"You can have the most amazing adventures – even when you are asleep. You can travel anywhere and do anything. You can even <em>fly</em> in your dreams! You never know what will happen next.

Watch out! Sometimes your dreams can play tricks on you. You could end up in a classroom with a grouchy teacher – or face-to-face with a lion. It all depends on the choices <em>you</em> make. Whatever happens while you are sleeping, all of your dream adventures are going to be fun!",
ZORK,1.0,A fabulous adventure awaits you in the magical land of Zork – where <em>you</em> decide what happens!,"The powerful warlock Krill has invaded the peaceful land of Zork at a time of unusual weakness. The three legendary Spheres of Power which normally protect the kingdom have disappeared, and Zork’s only hope for survival is to find them.

Can <em>you</em> help defend Zork? Or will the kingdom succumb to the evil forces of Krill?",zorkforcesofkril00mere
ZORK,2.0,A fabulous adventure awaits you in the magical land of Zork – where <em>you</em> decide what happens!,"Syovar, the gentle ruler of Zork, has been taken prisoner by Malifestro, a powerful wizard from a neighboring land. A terrible ransom of half the kingdom and 10,000 slaves is demanded, and Zork is plunged into chaos.

Can <em>you</em> help to find Syovar? Or must Zork submit to Malifestro’s evil demands?",malifestroquest00seri_dns
ZORK,3.0,A fabulous adventure awaits you in the magical land of Zork – where <em>you</em> decide what happens!,"Mystery and danger surround the discovery of a huge underground realm beneath the kingdom of Zork. Many explorers and adventurers have entered there in search of treasure, but none returned!

Will <em>you</em> enter the cavern of doom? Or will you leave Zork to the mercy of the hideous secret that lurks in the cavern depths?",cavernofdoom00mere
