num,ref_page,note_start_page,note_end_page,note_lines_per_page
1,23,983,983,1
2,46,983,983,2
3,51,983,983,15
4,51,983,983,2
5,53,983,983,18
6,53,983,984,8
7,53,984,984,13
8,53,984,984,9
9,53,984,984,7
10,53,984,984,4
11,54,984,984,2
12,55,984,984,8
13,55,984,984,3
14,56,984,985,3
15,56,985,985,2
16,56,985,985,2
17,57,985,985,3
18,58,985,985,9
19,59,985,985,1
20,59,985,985,5
21,60,985,985,1
22,60,985,985,2
23,63,985,985,1
24,64,985,993,408
25,64,994,994,1
26,67,994,994,4
27,67,994,994,4
28,70,994,994,4
29,74,994,994,1
30,76,994,994,3
31,79,994,994,2
32,81,994,994,2
33,81,994,994,2
34,82,994,994,8
35,82,994,994,6
36,83,994,994,2
37,88,994,994,1
38,88,994,994,4
39,89,994,994,6
40,89,995,995,12
41,92,995,995,2
42,94,995,995,4
43,103,995,995,2
44,108,995,995,2
45,108,995,995,1
46,110,995,995,6
47,126,995,995,6
48,126,995,995,5
49,137,995,995,1
50,138,995,995,2
51,138,995,995,4
52,152,995,996,5
53,154,996,996,2
54,154,996,996,2
55,156,996,996,3
56,170,996,996,4
57,170,996,996,8
58,176,996,996,1
59,178,996,996,1
60,184,996,996,2
61,185,996,996,7
62,187,996,996,4
63,187,996,996,1
64,188,996,997,18
65,189,997,997,11
66,191,997,997,4
67,196,997,998,41
68,198,998,998,3
69,201,998,998,5
70,202,998,998,14
71,205,998,998,1
72,206,998,998,2
73,213,998,998,7
74,217,998,998,1
75,218,998,998,6
76,218,998,999,27
77,219,999,999,6
78,223,999,999,3
79,225,999,999,5
80,228,999,1000,18
81,234,1000,1000,2
82,242,1000,1000,10
83,251,1000,1000,1
84,253,1000,1000,3
85,259,1000,1000,1
86,260,1000,1000,2
87,260,1000,1000,1
88,265,1000,1000,5
89,269,1000,1000,8
90,272,1000,1003,133
91,274,1003,1003,2
92,282,1003,1003,1
93,283,1003,1003,4
94,283,1003,1003,10
95,284,1003,1003,4
96,285,1003,1003,2
97,286,1003,1003,5
98,286,1003,1003,5
99,287,1003,1003,1
100,291,1004,1004,4
101,297,1004,1004,4
102,300,1004,1004,1
103,305,1004,1004,3
104,306,1004,1004,3
105,307,1004,1004,3
106,308,1004,1004,12
107,308,1004,1004,2
108,308,1004,1004,4
109,310,1004,1004,2
110,311,1004,1022,896
111,311,1022,1022,5
112,311,1022,1022,2
113,313,1022,1022,2
114,313,1022,1022,2
115,313,1022,1022,11
116,315,1022,1022,3
117,315,1022,1022,3
118,316,1022,1022,7
119,316,1022,1022,5
120,322,1023,1023,2
121,322,1023,1023,4
122,323,1023,1023,2
123,323,1023,1025,69
124,323,1025,1025,2
125,325,1025,1025,8
126,325,1025,1025,3
127,325,1025,1025,3
128,330,1025,1025,1
129,333,1025,1025,10
130,338,1025,1025,1
131,343,1025,1025,3
132,343,1025,1025,3
133,344,1025,1025,6
134,345,1025,1026,18
135,351,1026,1026,2
136,351,1026,1026,2
137,354,1026,1026,1
138,356,1026,1026,5
139,357,1026,1026,3
140,358,1026,1026,1
141,363,1026,1026,2
142,373,1026,1026,2
143,375,1026,1026,1
144,375,1026,1026,5
145,376,1026,1028,108
146,379,1028,1028,3
147,380,1028,1029,23
148,380,1029,1029,15
149,382,1029,1029,9
150,382,1029,1029,5
151,383,1029,1029,1
152,386,1029,1029,2
153,390,1029,1029,3
154,396,1030,1030,1
155,397,1030,1030,2
156,402,1030,1030,15
157,403,1030,1030,3
158,409,1030,1030,2
159,409,1030,1030,4
160,410,1030,1030,14
161,411,1030,1030,2
162,412,1030,1031,15
163,413,1031,1031,2
164,416,1031,1031,4
165,417,1031,1031,3
166,417,1031,1031,3
167,417,1031,1031,7
168,418,1031,1031,10
169,420,1031,1031,5
170,423,1031,1031,1
171,425,1031,1031,1
172,425,1031,1031,1
173,428,1031,1031,1
174,428,1032,1032,1
175,431,1032,1032,2
176,438,1032,1032,14
177,439,1032,1032,4
178,446,1032,1032,3
179,449,1032,1032,3
180,450,1032,1032,9
181,456,1032,1032,1
182,456,1032,1032,1
183,456,1032,1032,2
184,457,1032,1032,8
185,457,1033,1033,3
186,457,1033,1033,9
187,458,1033,1033,2
188,461,1033,1033,3
189,462,1033,1033,6
190,463,1033,1033,6
191,463,1033,1033,3
192,464,1033,1033,1
193,465,1033,1033,3
194,465,1033,1033,1
195,468,1033,1033,4
196,468,1033,1033,2
197,469,1033,1033,1
198,472,1033,1034,5
199,475,1034,1034,3
200,477,1034,1034,2
201,477,1034,1034,3
202,478,1034,1034,5
203,480,1034,1034,1
204,483,1034,1034,10
205,483,1034,1034,4
206,484,1034,1034,3
207,487,1034,1034,2
208,491,1034,1034,5
209,509,1034,1035,34
210,510,1035,1035,3
211,511,1035,1035,9
212,512,1035,1035,4
213,513,1035,1036,12
214,515,1036,1036,4
215,515,1036,1036,6
216,516,1036,1036,1
217,519,1036,1036,4
218,519,1036,1036,8
219,520,1036,1036,1
220,520,1036,1036,8
221,525,1036,1036,2
222,529,1036,1036,7
223,529,1036,1037,6
224,540,1037,1037,8
225,541,1037,1037,2
226,542,1037,1037,1
227,542,1037,1037,3
228,548,1037,1037,2
229,549,1037,1037,4
230,553,1037,1037,1
231,555,1037,1037,3
232,557,1037,1038,27
233,559,1038,1038,6
234,565,1038,1044,310
235,566,1044,1044,3
236,568,1044,1044,1
237,571,1044,1044,4
238,572,1044,1044,10
239,575,1044,1044,5
240,578,1044,1044,1
241,582,1044,1044,4
242,590,1044,1044,5
243,590,1044,1044,6
244,590,1044,1044,1
245,594,1044,1045,4
246,601,1045,1045,6
247,601,1045,1045,6
248,602,1045,1045,8
249,604,1045,1045,3
250,604,1045,1045,1
251,606,1045,1045,2
252,606,1045,1045,8
253,608,1045,1045,2
254,608,1045,1045,1
255,608,1045,1045,1
256,615,1045,1045,1
257,622,1045,1045,1
258,622,1045,1045,1
259,630,1045,1046,6
260,631,1046,1046,1
261,634,1046,1046,5
262,636,1046,1046,1
263,642,1046,1046,1
264,643,1046,1046,1
265,653,1046,1046,1
266,655,1046,1046,24
267,656,1046,1046,1
268,658,1046,1046,5
269,665,1047,1052,307
270,666,1052,1052,1
271,666,1052,1052,2
272,668,1052,1052,6
273,674,1052,1052,1
274,676,1052,1052,5
275,679,1052,1052,1
276,680,1052,1052,8
277,680,1052,1052,2
278,686,1052,1052,3
279,688,1052,1052,3
280,692,1053,1053,3
281,695,1053,1053,5
282,696,1053,1053,2
283,697,1053,1053,1
284,698,1053,1053,3
285,699,1053,1053,3
286,699,1053,1053,5
287,702,1053,1053,3
288,703,1053,1053,1
289,704,1053,1053,4
290,705,1053,1053,5
291,707,1053,1053,10
292,707,1053,1054,20
293,708,1054,1054,5
294,709,1054,1054,2
295,709,1054,1054,1
296,711,1054,1054,2
297,712,1054,1054,5
298,713,1054,1054,5
299,715,1054,1054,1
300,721,1054,1054,3
301,722,1054,1055,10
302,722,1055,1055,11
303,725,1055,1055,6
304,732,1055,1062,370
305,739,1062,1062,1
306,740,1062,1062,3
307,741,1062,1062,5
308,742,1062,1062,1
309,743,1062,1062,5
310,743,1062,1062,1
311,748,1062,1062,1
312,750,1062,1062,4
313,751,1062,1062,2
314,753,1062,1062,1
315,754,1062,1062,1
316,759,1062,1063,8
317,760,1063,1063,2
318,761,1063,1063,1
319,762,1063,1063,1
320,770,1063,1063,1
321,785,1063,1066,171
322,786,1066,1066,3
323,787,1066,1066,2
324,787,1066,1072,324
325,787,1072,1072,2
326,788,1072,1072,1
327,788,1072,1072,2
328,788,1072,1072,1
329,788,1072,1072,2
330,790,1072,1072,1
331,791,1072,1072,4
332,795,1073,1076,166
333,795,1076,1076,3
334,796,1076,1076,4
335,803,1076,1076,2
336,803,1076,1076,1
337,814,1076,1076,4
338,814,1076,1076,2
339,815,1076,1076,1
340,815,1076,1076,1
341,818,1076,1076,2
342,835,1076,1076,1
343,838,1076,1076,2
344,851,1076,1076,3
345,851,1076,1076,2
346,853,1076,1076,2
347,855,1076,1076,2
348,856,1076,1076,1
349,857,1076,1076,1
350,863,1077,1077,2
351,863,1077,1077,2
352,873,1077,1077,6
353,874,1077,1077,2
354,886,1077,1077,1
355,887,1077,1077,1
356,887,1077,1077,1
357,887,1077,1077,1
358,887,1077,1077,3
359,887,1077,1077,2
360,888,1077,1077,2
361,893,1077,1077,2
362,903,1077,1077,2
363,904,1077,1077,4
364,904,1077,1077,2
365,906,1077,1077,1
366,911,1077,1077,8
367,912,1077,1078,6
368,913,1078,1078,3
369,914,1078,1078,12
370,915,1078,1078,1
371,915,1078,1078,1
372,917,1078,1078,2
373,921,1078,1078,2
374,924,1078,1078,2
375,928,1078,1078,2
376,931,1078,1078,2
377,935,1078,1078,2
378,944,1078,1078,1
379,947,1078,1078,1
380,949,1078,1078,6
381,951,1078,1078,5
382,957,1079,1079,5
383,961,1079,1079,2
384,969,1079,1079,2
385,973,1079,1079,2
386,978,1079,1079,2
387,979,1079,1079,6
388,979,1079,1079,1
